"Marca temporal","¿En qué rango de edad te encuentras?","Genero:","¿A qué te dedicas?","1. ¿Comúnmente con cuantas personas viajaría?","2. ¿Cuáles serían sus necesidades con respecto a la cajuela o maletero?","3. ¿Considera importante que su automóvil sea llamativo visualmente mediante la incorporación de materiales y acabados premium?","4. ¿Qué piensa del equipamiento tecnológico orientado a facilitar o hacer más cómoda la conducción? (control de crucero, asistente de ascenso en pendientes,  climatizador, etc.)","5. ¿Qué piensa del equipamiento tecnológico orientado al info-entretenimiento dentro de su automóvil?","6. ¿Qué opina acerca de los elementos y sistemas orientados a la seguridad de un automóvil?","7. ¿Es probable o piensa viajar de manera frecuente con bebés o niños pequeños?","8. ¿Tiene contemplado el viajar frecuentemente con alguna persona con limitaciones físicas o de capacidades diferentes?","9. ¿Que opción describe mejor los trayectos que en su mayoría recorre de manera habitual?","10. ¿Qué tan frecuentes son las pendientes en los trayectos que recorre de manera habitual?","11. ¿Tiende a realizar con frecuencia viajes largos (de más de 100km) en donde contempla el uso de un automóvil?","12. ¿Qué opción le describe mejor?","13. ¿Con frecuencia suele visitar lugares nuevos o entornos muy variados?","14. ¿Tiene alguna preferencia por el tipo de transmisión?","15. De acuerdo a sus actividades, y contemplando un día de uso normal. ¿Aproximadamente cuanto tiempo pasaría manejando un automóvil?","16. ¿Que aspecto valora mas de un automóvil?","17. ¿Cuánto dinero estaría dispuesto a pagar por un automóvil nuevo?"
"2020/12/20 7:13:01 p. m. GMT-6","18 - 24 años","Masculino","Soy Estudiante","Con 3 o hasta 4 personas más","Por las actividades de mi día a día, veo indispensable un maletero amplio","No, me interesan más otros aspectos","Prefiero limitarme a las características básicas que un auto ofrece en este aspecto y priorizar otros","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","Sí","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy poco frecuentes","Sí","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Muy poco o casi nunca","Transmisión Automática","1 hora o menos","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2020/12/20 7:18:32 p. m. GMT-6","18 - 24 años","Masculino","Soy Estudiante","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Lo considero importante, pero no es un aspecto determinante","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","No","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Muy poco o casi nunca","No","Entre 1 y 3 horas","Su capacidad de eficiencia energética y ahorro","Entre 350,000 y 500,000 pesos"
"2020/12/20 7:23:34 p. m. GMT-6","18 - 24 años","Femenino","Soy Estudiante","Con 3 o hasta 4 personas más","Por las actividades de mi día a día, veo indispensable un maletero amplio","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","Sí","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","Sí","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Un par de veces al mes","No","Entre 1 y 3 horas","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2020/12/20 8:02:12 p. m. GMT-6","25 - 34 años","Masculino","Soy Estudiante","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Lo considero importante, pero no es un aspecto determinante","No","Sí","Caminos difíciles o terrenos Off-Road","Medianamente frecuentes","No","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Muy poco o casi nunca","No","Entre 1 y 3 horas","Su capacidad de eficiencia energética y ahorro","Entre 350,000 y 500,000 pesos"
"2020/12/20 8:02:48 p. m. GMT-6","25 - 34 años","Femenino","Trabajo en oficina","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","No","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","No","Entre 1 y 3 horas","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2020/12/20 8:37:31 p. m. GMT-6","25 - 34 años","Femenino","Trabajo desde casa o atiendo labores del hogar","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","No","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Un par de veces al mes","No","1 hora o menos","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2020/12/20 8:40:18 p. m. GMT-6","18 - 24 años","Femenino","Trabajo desde casa o atiendo labores del hogar","Con 3 o hasta 4 personas más","Por las actividades de mi día a día, veo indispensable un maletero amplio","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","No","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Un par de veces al mes","Transmisión Manual","1 hora o menos","Su capacidad de eficiencia energética y ahorro","Entre 220,000 y 350,000 pesos"
"2020/12/20 9:01:52 p. m. GMT-6","35 -44 años","Masculino","Otro","Con 3 o hasta 4 personas más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","No","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Un par de veces al mes","Transmisión Automática","1 hora o menos","Su capacidad de eficiencia energética y ahorro","Entre 220,000 y 350,000 pesos"
"2020/12/20 10:04:18 p. m. GMT-6","55 años en adelante","Masculino","Trabajo en fábrica / taller","Solo yo o con una persona más","Necesitaría mas espacio del que me ofrece un maletero común ya que frecuentemente transporto objetos de gran peso y volumen","No, me interesan más otros aspectos","Prefiero limitarme a las características básicas que un auto ofrece en este aspecto y priorizar otros","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Me basta con los elementos básicos de seguridad que un auto pueda ofrecer","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","No","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Muy poco o casi nunca","Transmisión Manual","Entre 1 y 3 horas","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2020/12/20 10:29:46 p. m. GMT-6","18 - 24 años","Masculino","Soy Estudiante","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Lo considero importante, pero no es un aspecto determinante","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","No","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Un par de veces al mes","No","1 hora o menos","Su capacidad de velocidad y control","De preferencia menos de 220,000 pesos"
"2020/12/20 10:32:03 p. m. GMT-6","25 - 34 años","Masculino","Trabajo en oficina","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","No","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Muy frecuentemente","No","Entre 1 y 3 horas","Su capacidad de velocidad y control","Entre 350,000 y 500,000 pesos"
"2020/12/20 10:41:04 p. m. GMT-6","25 - 34 años","Masculino","Trabajo desde casa o atiendo labores del hogar","Con 3 o hasta 4 personas más","Por las actividades de mi día a día, veo indispensable un maletero amplio","No, me interesan más otros aspectos","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","No","Pienso en un automóvil más como un lujo o gusto personal que me permita salir sólo o con amigos","Muy poco o casi nunca","Transmisión Manual","1 hora o menos","Su capacidad de eficiencia energética y ahorro","Entre 220,000 y 350,000 pesos"
"2020/12/20 10:54:39 p. m. GMT-6","25 - 34 años","Femenino","Trabajo en fábrica / taller","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Mientras más elementos tecnológicos de este tipo, mejor","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","No","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Muy poco o casi nunca","Transmisión Automática","1 hora o menos","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2020/12/20 11:06:16 p. m. GMT-6","25 - 34 años","Masculino","Trabajo en oficina","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Pienso que es bueno tener un equipamiento tecnológico moderado que me permita una cómoda conducción sin prodigar demasiado en este aspecto","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","No","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Muy frecuentemente","No","Entre 1 y 3 horas","Su capacidad de velocidad y control","Entre 350,000 y 500,000 pesos"
"2020/12/21 8:34:26 p. m. GMT-6","25 - 34 años","Femenino","Trabajo en fábrica / taller","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","No, me interesan más otros aspectos","Mientras más elementos tecnológicos de este tipo, mejor","Aprecio un equipamiento tecnológico moderado que me permita disfrutar la música, y mantenerme en comunicación de manera segura","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con pocos topes /reductores de velocidad / semáforos","Medianamente frecuentes","No","Pienso en un automóvil como un medio para facilitarme el día a día y disminuir gastos","Muy poco o casi nunca","Transmisión Automática","1 hora o menos","Su capacidad de eficiencia energética y ahorro","De preferencia menos de 220,000 pesos"
"2020/12/22 8:13:54 p. m. GMT-6","25 - 34 años","Masculino","Trabajo en oficina","Solo yo o con una persona más","Con un maletero pequeño lo veo suficiente","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Prefiero limitarme a las características básicas que un auto ofrece en este aspecto y priorizar otros","Prefiero una conducción más tranquila con opción a disfrutar solo de música, y darle mas prioridad a otro tipo de aspectos","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","Sí","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Muy frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Manual","1 hora o menos","Su capacidad de eficiencia energética y ahorro","Entre 350,000 y 500,000 pesos"
"2020/12/24 10:11:58 a. m. GMT-6","25 - 34 años","Masculino","Otro","Solo yo o con una persona más","Por las actividades de mi día a día, veo indispensable un maletero amplio","Si, no me importaría pagar un poco más por tener mejores materiales de fabricación y acabados","Mientras más elementos tecnológicos de este tipo, mejor","Me interesa todo tipo de equipamiento tecnológico que un auto pueda ofrecerme para tener una experiencia más confortable","Para mi es lo mas importante de un automóvil , y prefiero no escatimar","No","No","Vialidades con múltiples topes / reductores de velocidad / semáforos / baches","Medianamente frecuentes","Sí","Pienso en un automóvil como un medio indispensable para cumplir mis labores y me es importante su buen desempeño","Un par de veces al mes","Transmisión Automática","Entre 1 y 3 horas","Su capacidad de velocidad y control","Entre 350,000 y 500,000 pesos"
