nombre,version,cal_general,cal_acabados,cal_seguridad,cal_equipamiento,cal_Infotenimiento,cal_comportamiento,cal_motor,cal_transmision,cal_consumo,cal_espacio,cal_precio,a_favor,en_contra
Toyota Prius ,Premium,8.7,7.5,9,8.5,7,8,9,9,10,10,9,"No hay que esforzarse para gastar poca gasolina. ,Manejo cómodo, ideal para ciudad.,Buen espacio interior.,Precio razonable.","Algunos plásticos del interior parecen económicos. ,Comportamiento poco preciso en curvas.,El diseño no es fácil de digerir.,El infotenimiento no es compatible con Android Auto ni Apple CarPlay."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KIA Rio Sedán ,EX Pack 2019,8.2,8,8.5,8.5,9,8,8,8,6.5,9,8,"Buena relación precio/equipamiento,Cómodo para vivir en la ciudad,Espacio interior","Consumos algo elevados,Sistema de sonido,Mucho reflejo de los plásticos del tablero "
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Toyota Corolla ,Hybrid,8.6,8.5,8.5,8.5,7,8,9,9,10,8,9,"Los acabados al interior mejoran mucho.,Su andar es silencioso: muy buena sinergia entre motores.,En verdad gasta poca gasolina.","No es compatible con Android Auto.,Se cuela mucho la rumorosidad de la rodadura a la cabina.,Hay pocos espacios para guardar objetos."
Audi Q7 ,55 TFSI Elite 2019,8.4,8.5,9,9.5,10,9,8,9,6,7.5,7.5,"La calidad: de marcha, de materiales, de insonorización, es premium en todos sentidos.,La constante renovación de diseño y funcionalidad, a pesar de que esta generación existe desde 2016.,El ritmo que se puede mantener en carretera, sublime.","A cualquier velocidad y con cualquier modo de manejo elegido, gasta mucha gasolina.,Sólo la versión diésel (la menos vendida) equipa todos los elementos de seguridad de serie, en las demás versiones, es opcional.,La tercera fila de asientos ofrece poco espacio y se sacrifica la capacidad de carga en cajuela, normal en este tipo de vehículos."
,,,,,,,,,,,,,,
Suzuki Vitara ,GLS TA,8.3,7,9,8.5,8,9,7,9,10,7.5,7.5,"Su comportamiento: muy equilibrado.,Buen rendimiento de combustible.,El equipamiento es bastante completo.","Los acabados y ensambles tienen margen de mejora.,No es el SUV más amplio. ,Potencia justa para carretera."
Renault Kwid ,Outsider,7.4,6.5,7.5,7,8,7,6,8,10,6,8,"Muy buen rendimiento de combustible.,Lleva frenos ABS y cuatro airbags en todas sus versiones.,Se siente robusto y apto para la hostilidad urbana.,Hay infotenimiento compatible con Android Auto y Apple CarPlay.","Poco espacio interior.,Potencia justa.,No incluye alarma.,El cinturón de seguridad central es sólo pélvico."
SEAT Ibiza ,Beats,8.3,8,8,9,10,8,8,9,8.5,8,7,"Los detalles al interior le van de maravilla,Cuadro de instrumentos digital,Navegación de serie ,Sistema de audio Beats","No hay cámara de reversa, ni sensores de reversa,No hay opción a caja automática "
BMW X5 ,xDrive50iA M Sport,9.2,10,10,9.5,10,9,10,10,6,10,7.5,"El comportamiento es brillante. No parece pesar más de dos toneladas.,La atención al detalle al interior sorprende.,El V8 empuja con ganas.","No es precisamente ahorrador: 6.5 km/l.,Mucho del equipamiento tecnológico es opcional."
Volkswagen Gol ,10 Años,7.8,8,6,8.5,8,8,8,8,8.5,8,7,"Un nivel admirable de equipamiento de conectividad,Fácil de maniobrar,Cómodo a pesar de su tamaño","Ya hay rechinidos en algunas zonas del interior, aún sin pasar de los 4,000 km en el contador.,Por el precio esperarías control electrónico de estabilidad,Sólo tiene dos bolsas de aire, cuando hay rivales más accesibles con cuatro."
,,,,,,,,,,,,,,
Ford Edge ST ,ST,8.8,8,10,9.5,10,8.5,9,9,6.5,9,8.5,"La respuesta del motor y su buena relación con la transmisión.,Hay mucho equipamiento de confort y seguridad.,Es divertido, pero también cómodo.","El rendimiento de combustible fue de 6.8 km/l en ciudad.,Los acabados cumplen al interior, pero no sorprenden."
Mitsubishi Eclipse Cross ,Limited Red Diamond,8.3,7.5,10,9.5,8,7.5,9,6,8,7.5,9.5,"Muchísimas asistencias de conducción, incluso desde la versión intermedia.,La respuesta del motor turbo es buena.,La relación valor/precio es competente.,Tiene 7 años de garantía.","Poco espacio en la cajuela. ,El interior es muy discreto en comparación con el exterior.,La transmisión CVT acaba con la diversión."
Volkswagen Beetle ,Final Edition,7.8,8,8,8,8,9,7,8,6.5,7.5,7.5,"Detalles retro al interior y exterior,Gran trabajo de chasis, suspensión y dirección,Sistema de audio Fender","Consumos elevados,Motor que se siente viejo,Ya se le nota el paso del tiempo."
Chevrolet Spark ,Premier CVT,7.5,7,8,7,9,8,8,7,8,6,7,"Todos los Spark CVT llevan control electrónico de estabilidad.,Los cuatro airbags son de serie.,Al volante no se siente como un auto barato.,El sistema OnStar es muy útil.","La columna de la dirección no tiene ajuste de altura ni profundidad.,La versión Premier podría ofrecer más equipamiento.,Hay poco espacio en la cajuela."
Chevrolet Blazer 2019 ,RS,8.1,8,9,9,9,8,8,8,6,9,8,"El aspecto moderno, con frente de Camaro.,Es un amplio SUV para cinco pasajeros con su equipaje, muy cómodo.,El hot-spot de wifi para 7 dispositivos simultáneos.","La suspensión es firme al contacto y suave al rebote, causa lancheo cuando hay ondulaciones en el pavimento.,Por la potencia, es fácil que patinen las llantas delanteras, un sistema AWD no le caería mal.,La visibilidad hacia atrás y las esquinas, no hay cámara que anule tantos puntos ciegos."
Toyota Corolla ,SE,8.1,8.5,8.5,8.5,7,8,8,8.5,8,8,8,"La conducción es muy cómoda.,Casi todo el tiempo olvidas que la transmisión es CVT.,Los acabados mejoran mucho respecto al Corolla anterior.","No cuenta con monitor de punto ciego.,Hay pocos espacios para guardar objetos.,Falta compatibilidad con Android Auto. "
Nissan 370Z ,Nismo,8.1,9.5,8,8.5,6,9,10,9,7,7,6.5,"Manejo al estilo retro,Preciso,Nota de motor que enamora,Brutalmente llamativo","Infotenimiento viejo... viejísimo,Precio elevado comparado a otros deportivos"
,,,,,,,,,,,,,,
Chevrolet Volt ,Premier 2019,8.2,8,9,9,8,7,8,7,10,8.5,7.5,"El botón Regen-On-Demand que recarga rápido la batería y permite manejar con un sólo pedal.,La comodidad de marcha y el diseño interior.,Los incentivos que recibe al tratarse de un auto ""verde"".","La confusión que genera su tren motriz, eléctrico de rango extendido no es igual a híbrido.,El tiempo que toma recargar la batería en un enchufe de 120 V es mucho mayor al anunciado por Chevrolet.,Su elevado precio, como sea, es un Chevrolet sedán, más equipamiento y calidad premium le caerían bien."
Honda Civic ,Touring,8.4,8.5,8.5,8.5,9,9,9,7.5,8.5,9,7,"La respuesta del motor turbo, poco retraso.,Buenos acabados al interior.,El manejo equilibra confort con sensaciones deportivas.","Un monitor de punto ciego puede ser más práctico que el sistema LaneWatch.,Precio elevado.,La transmisión CVT ayuda al consumo, pero no al carácter deportivo del auto."
Ram 1500 ,Laramie Sport 4x4 Black Package,8.8,9,9,10,10,10,9,9,5,10,7,"La imagen del paquete Black hace que nos abran paso por dónde sea.,La sensación de lujo, tanto en el interior, como de la marcha.,El poder del HEMI y su capacidad de carga, así como la habilidad en todoterreno.","El consumo es altísimo, ni con la desconexión de cilindros se nota la diferencia.,Que no haya opción con sistema mild-hybrid en México."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Chevrolet Cheyenne ,High Country,8.5,7,10,9,10,7,9,9,5,10,8.5,"El nivel de equipamiento es comparable con un sedán de lujo.,Lleva muchas asistencias de conducción.,Buena capacidad todoterreno.","Una cámara de 360º ayudaría al maniobrar.,La suspensión todavía es algo saltona.,Rinde 5.5 km/l en ciudad."
,,,,,,,,,,,,,,
Audi A8 2019 ,55 TFSI Premium,9.1,10,10,10,10,9,8,9,7.5,9.5,8,"A8 es un escaparate de la mejor tecnología de Audi.,La sensación de lujo.,El consumo reducido por el sistema Mild-Hybrid.","No nos alcanza para uno.,La inseguridad de la CDMX nos provoca una sensación constante de paranoia.,Extrañamos la versión con motor V8, habrá que esperar."
,,,,,,,,,,,,,,
Suzuki Vitara ,Boosterjet All Grip,8.3,7.5,8.5,9,8,8,9,9,8,8,8,"Sus capacidades, si bien no es un Jeep, sí puede ensuciarse más y llegar más lejos que el resto de su segmento.,Nivel de equipamiento,Motor que le inyecta buenas respuestas","A pesar de mejorar en algunas zonas al interior, aún hay plásticos que dejan que desear.,Como todo Suzuki hay varios materiales que vibran"
,,,,,,,,,,,,,,
Acura RDX ,A-Spec,8.6,9,10,8.5,8.5,8,8,9,7,9,8.5,"Los acabados al interior: realmente premium.,Va cargado con muchísimas asistencias de conducción.,Equilibrio entre comodidad y deportividad.","Es fácil disparar el consumo de combustible.,El pedal del freno es esponjoso y de recorrido largo."
,,,,,,,,,,,,,,
Volkswagen Virtus ,Comfortline TA,8.0,7,7,8,8,9,7,8.5,8.5,10,7,"El espacio interior está muy bien aprovechado.,Su manejo es cómodo y refinado.,Buen rendimiento de combustible.","Algunos acabados lucen sencillos.,No lleva bolsas de aire tipo cortina.,El motor queda justo de potencia."
,,,,,,,,,,,,,,
SEAT Tarraco ,Xcellence,8.6,8.5,9,9,9,8,8,7,8.5,10,8.5,"Nivel de equipamiento,Comodidad de marcha,Manejo ágil ","La transmisión aún en modo ""ECO"" estira mucho los cambios,El diseño del interior no es tan propositivo como los demás SEAT de nueva generación."
,,,,,,,,,,,,,,
Toyota Supra ,2020,8.6,8.5,8.5,9,9,9,9,8,6,7.5,,"Es tan divertido como preciso.,Los acabados son muy buenos: un Toyota con sabor a Lexus (¿o BMW?),Las proporciones de su carrocería: un coupé de diccionario.","La transmisión no es tan rápida como una de doble embrague.,Hay margen de mejora en la visibilidad.,Tiene Apple CarPlay, pero no Android Auto."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Renault Kangoo ,Intens Plus,6.7,5,7,6,3,6,8,7,7,10,8,"Buena capacidad de carga,Buen nivel de par a bajas revoluciones para mover la carga,Que tenga ESC","Falta de ajuste de altura,Mucho balanceo de carrocería,Interiores muy rudimentarios, aún para vehículo de trabajo."
,,,,,,,,,,,,,,
Chevrolet Equinox ,Midnight Edition,,7,9,8,10,8,8,7.5,7,9,7.5,"El traje negro le sienta bien.,Los servicios de OnStar son muy completo.,Buen espacio interior.","Hay margen de mejora en los acabados.,Por el precio se echa de menos algo más de equipamiento."
SEAT León ,CUPRA 290,8.9,8.5,9,9,9,9,9,10,8.5,8,9,"Es ágil y preciso.,El rendimiento de combustible es razonable para sus 290 hp.,Buen nivel de conectividad.","Cambiará de generación dentro de poco.,Al interior se empieza a notar el paso del tiempo.,Ya no hay carrocería de tres puertas."
Nissan Versa ,Platinum,8.7,9,10,9.5,8.5,8,8.5,8,9,8,,"Todas las versiones llevan 6 airbags y control de estabilidad.,El tope de gama incluye freno autónomo de emergencia.,Los acabados al interior mejoran mucho.","Ahora es menos espacioso.,El descansabrazos delantero peca de sencillo.,No reemplaza al Versa anterior."
,,,,,,,,,,,,,,
KIA Soul ,LX TM,8.3,7.5,9,8,8,7.5,7,8.5,8,9,10,"No escatima en seguridad para reducir su precio.,El espacio interior se aprovecha bien.,Buen equipamiento en relación con el precio.","Motor justo de potencia.,El consumo de combustible se quedó algo corto considerando que la caja era manual."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Mitsubishi Outlander PHEV ,Limited,8.5,7.5,9,9,8,7.5,10,6,10,9.5,,"Eficiencia, poder recorrer tantos kilómetros en modo eléctrico,Equipamiento de seguridad.,Comodidad.","Suspensión extremadamente suave, se balancea mucho.,La CVT tarda en reaccionar cuando se usa.,Algunos acabados ya se sienten y ven viejos."
,,,,,,,,,,,,,,
SEAT Arona ,Beats,8.0,7.5,8,7,10,9,6.5,8,9,7.5,8,"El cuadro de instrumentos digital facilita la lectura.,Los gráficos del sistema de infotenimiento sobresalen entre sus rivales.,La puesta a punto del chasís: cómodo y estable.","El motor entrega la potencia justa.,Hay mucho plástico rígido en el habitáculo.,Hay poco lugar para piernas en fila trasera."
KIA Stinger ,EX 2.0 turbo,8.6,8.5,9,9,7.5,9.5,9,10,7,8,8.5,"Bien equilibrado entre comodidad y sensación deportiva.,Su apariencia seduce.,El turbo presenta poco retraso.","Poco espacio para cabeza.,No incluye monitor de punto ciego.,Es fácil disparar el consumo de combustible en el tráfico."
Mercedes-Benz C200 ,Convertible,8.0,9,8.5,8,7.5,8.5,8,7.5,8,7,8,"Es un coche para pasear con el toldo abajo.,El equipamiento de serie que antes era opcional.,Se puede obtener un rendimiento de entre 11 y 12 km/l en ciudad sin necesidad del modo ECO.","Para activar CarPlay se necesita bajar una aplicación, te extrañamos, MBUX.,Que no se haya incluido el sistema EQ Boost mild-hybrid al motor 2.0.,La entrega de potencia entre el motor y la caja, parece que se desperdicia."
Honda BR-V ,Prime,7.6,7,6.5,8,7,7,7,7,9,10,8,"El aprovechamiento del espacio interior es muy bueno.,Buen rendimiento de combustible.,Queda un espacio decente de cajuela con la tercera fila arriba.","Sólo lleva dos airbags.,El volante no se ajusta de profundidad ni el asiento de altura.,La dirección retroalimenta poco."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Volkswagen T-Cross ,Highline,8.3,7.5,8,9.5,10,9,6.5,8,8.5,8.5,7,"Hay mucho equipamiento de confort y tecnología.,La conducción es tan cómoda como ágil.,Buen aprovechamiento del espacio interior.","El motor sólo es suficiente para ciudad.,Los plásticos interiores son rígidos y hay algunos ajustes con margen de mejora.,Precio elevado."
Renault Sandero R.S. ,Renault Sport,8.0,7,7,8,8,8.5,8.5,9,9,8.5,7,"La respuesta del motor es muy buena.,El chasís es más deportivo de lo que imaginábamos en principio.,Buen espacio interior.","Los acabados son muy sencillos.,El volante no tiene ajuste de profundidad.,Ya tiene airbags laterales, pero aún faltan los de cortina."
BMW Serie 1 ,118iA Sport Line,8.9,9,8,8,10,9,10,10,8.5,8,8.5,"Buen aislamiento acústico y marcha cómoda.,La respuesta del motor y del chasís es inmediata.,Muy alta percepción de calidad..","Mucho equipamiento (incluidas varias asistencias) es opcional.,Mantiene el carácter divertido, pero aún se extraña la chispa de un tracción trasera."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Dodge Challenger SRT ,Hellcat Widebody Redeye,7.8,8,8,9,10,9,10,9,3,6,9,"""No replacement for displacement"" se aplica aquí, hay muchas maneras de producir potencia, pero pocas como en un HEMI.,No hay necesidad de sonidos artificiales... ruge en todo momento.,Aunque sacrifica la seguridad y el agarre, es increíble la sencillez para perder adherencia con el eje trasero.","Hay pocas situaciones en las que se puede pisar el acelerador a fondo, no es culpa del auto, pero hay reglas que se deben seguir.,Más de cinco metros de largo y la banca trasera es inútil.,El modo Eco debería estar etiquetado como ""Zen"" o ""Wet"", sólo nos permite relajarnos un poco al volante, del consumo, ni hablamos."
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
