Nombre,Marca,Modelo,C_General,C_Vida,C_Diseño,C_Manejo,C_Performance,A_favor,En_contra,keyPhrasesFavor,ScoresFavor,keyPhrasesContra,ScoresContra
Toyota Etios sedán XLS,Toyota,Etios sedán XLS,7.2,7.1,7.0,7.2,7.2,"Espacio interior,Consumo en ruta,Caja de 6 relaciones,Habitabilidad/Tamaño baúl","Algunos faltante de equipamiento de confort,Respuesta táctil de la pantalla,Ubicación de tablero",,,,
Chevrolet Spin LTZ 1.8 AT,Chevrolet,Spin LTZ 1.8 AT,6.9,6.5,6.6,6.6,6.5,"Diseño más atractivo,Presentación interior,Confort de marcha,Precio comparativo","Equipamiento de seguridad,Comportamiento dinámico,Consumos en ciudad,Comportamiento de caja",,,,
Volkswagen Vento 1.4 TSI Highline Tiptronic,Volkswagen,Vento Highline 1.4 TSI Highline Tiptronic,7.9,8.1,7.9,8.1,8.1,"Equipamiento,Terminación,Prestaciones correctas,Consumo contenido,Comportamiento dinámico","Precio comparativo,Distancias de frenado,Levas no disponibles,Espejos eléctricos no rebatibles,Auxilio temporal","Equipamiento,correctas,","0.9567745327949524,0.5151578783988953,","comparativo,","0.964019238948822,"
Toyota Hilux SRX 4×4 MT,Toyota,Hilux SRX 4x4 MT,7.7,7.6,7.7,7.4,7.7,"Garantía,Durabilidad,Capacidad off road,Consumos","Confort de marcha,Selector de caja,Quinta plaza,Actualización a medidas","Durabilidad,","0.6739636063575745,","Confort,marcha,Selector,Actualización,","0.999983549118042,0.8629955053329468,0.6478951573371887,0.7005614042282104,"
Toyota Yaris 1.5 S 5 puertas,Toyota,Yaris 1.5 S MT 5 puertas,7.6,7.4,7.6,7.8,7.5,"Motor y transmisión,Equilibrio suspensiones,Garantía extendida,Consumos,Habitabilidad","Distancias de frenado,Sin sensor trasero,Algunas terminaciones,Posición de manejo,Autonomía",,,,
Alfa Romeo Giulietta Veloce 1.8 AT,Alfa Romeo,Giulietta Veloce 1.8 AT,7.7,7.4,7.3,7.7,8.4,"Potencia disponible,Comportamiento,Calidad,Equipamiento,Diseño atractivo","Espacio posterior,Confort de marcha,Auxilio temporal,Precio elevado,Caja poco eficiente","Potencia,","0.9646424651145935,","Espacio posterior,Confort,marcha,Auxilio temporal,Precio elevado,Caja,","0.9999994039535522,1.0,0.9999997615814209,0.9999994039535522,0.9999961256980896,0.9999845027923584,"
Chevrolet Equinox 1.5 Premier AT 4×4,Chevrolet,Equinox 1.5 Premier AT 4x4,7.7,8.2,7.7,7.7,7.3,"Equipamiento,Habitabilidad,Relación CV/Litro,Comportamiento equilibrado,Presentación","Opción 4x4,Consumo urbano,Baúl mejorable,Auxilio temporal,Gama acotada","Equipamiento,Habitabilidad,Relación,Litro,Comportamiento equilibrado,","0.9999897480010986,0.984607994556427,0.9990788698196411,0.9958236217498779,0.8843450546264648,","Opción,4x4,urbano,Baúl,Auxilio temporal,","0.9999955892562866,0.9999631643295288,0.8676640391349792,0.948049783706665,0.9665781855583191,"
Fiat Uno Way,Fiat,Uno Way,7.1,7.3,6.9,7.3,7.1,"Confort de marcha,ESP de serie,Multimedia completa,Calidad percibida","Baúl acotado,Única versión,Espacio trasero,Restyling antiguo","Confort,marcha,ESP,serie,Multimedia completa,Calidad percibida,","1.0,0.9999997615814209,0.9999970197677612,0.9999961853027344,0.9999668002128601,0.9997366666793823,","Baúl acotado,versión,","0.9992985129356384,0.8522555232048035,"
Nissan Frontier 2.3 LE 4X4 AT,Nissan,Frontier 2.3 LE 4X4 AT,7.6,8.2,7.8,7.7,8.0,"Equipamiento mejorado,Confort de marcha,Neumáticos más off road,Precio final","Sin bloqueo diferencial trasero,Posición de manejo,Algunas terminaciones,Garantía","Equipamiento,off road,","0.9938471913337708,0.7372003197669983,","bloqueo diferencial,","0.9896802306175232,"
Fiat Toro 1.8 naftera AT6,Fiat,Toro Freedom 1.8 AT6,7.3,7.5,7.7,7.4,6.5,"Diseño personal,Presentación interior,Equipamiento de serie,Precio comparativo","Consumo elevado,Plazas traseras justas,Error velocímetro (11%),Recuperaciones/Elasticidad","Diseño personal,","0.9308927059173584,","Consumo elevado,","0.9451811909675598,"
Volkswagen Saveiro Cross,Volkswagen,Saveiro Cross,6.9,7.0,6.7,6.9,7.1,"Confort,Con ESP,Gama variada,Estética","Plazas posteriores,Volúmen de carga,Prestaciones domésticas,Caja de cinco relaciones","Confort,ESP,Gama variada,Estética,","0.9999998807907104,0.9418617486953735,0.9786796569824219,0.9999979734420776,","Plazas posteriores,Volúmen,carga,","0.9989887475967407,0.9999992847442627,0.9999785423278809,"
Audi A3 2.0T Sedán S Line,Audi,A3 2.0T Sedán S Line,8.1,8.0,7.6,8.5,8.5,"Consumo austero,Percepción de calidad ,Motor eficiente,Agrado de conducción","Precio elevado ,Plaza trasera central ,Diseño convencional ,Visibilidad posterior ","Consumo austero,Percepción,calidad,Motor eficiente,","0.9999985098838806,0.9602132439613342,0.8671138882637024,0.8420453071594238,","Precio elevado,Plaza trasera,Diseño convencional,Visibilidad posterior,","0.9999985694885254,0.9999994039535522,0.9999943971633911,0.9999986886978149,"
Audi A5 Coupe Stronic Quattro,Audi,A5 coupé Quattro,7.9,7.9,8.0,8.5,8.2,"Diseño atractivo,Term./materiales,Prest. deportivas,Dinámica rutera,Tracción ""quattro""","Precio comparativo,Plazas traseras/Acceso,Visibilidad panorámica,Auxilio temporal,Despeje limitado","Diseño atractivo,materiales,Prest,rutera,Tracción,""quattro"",","0.9947121739387512,0.8335192799568176,0.8091475963592529,0.5392182469367981,0.9979633092880249,0.9990551471710205,","Precio comparativo,Plazas traseras,Acceso,Visibilidad panorámica,Auxilio temporal,Despeje limitado,","0.9999994039535522,0.9999945163726807,0.9999970197677612,0.9992448687553406,0.9999927282333374,0.9958495497703552,"
Jeep Renegade Trailhawk,Jeep,Renegade Trailhawk,7.4,7.3,7.4,7.3,7.4,"Equip/Multimedia,Seguridad,Robustez,Tracción,Autonomía","Radio de giro,Precio comparativo,Baúl,Sensibilidad al viento,Distancia de frenado","Equip,Multimedia,","0.9884916543960571,0.6317175626754761,","Radio,Precio comparativo,Baúl,Sensibilidad,","0.9999970197677612,0.8415948152542114,0.924490213394165,0.9995342493057251,"
Volkswagen T-Cross Highline,Volkswagen,T-Cross Highline,7.7,7.5,8.0,8.1,7.2,"Habitabilidad,Percepción de calidad,Insonorización,Comportamiento dinámico","Prestaciones,Precio elevado,Auxilio temporal,Ausencia de opción 4x4","Habitabilidad,Percepción,calidad,Insonorización,Comportamiento dinámico,","0.9999995231628418,0.9998985528945923,0.9996707439422607,0.9999127388000488,0.9912698864936829,","Prestaciones,temporal,","0.9878756999969482,0.6559876203536987,"
Jeep Compass MY2019 Limited Plus,Jeep,Compass MY2019 Limited Plus,7.6,7.8,7.9,7.7,7.0,"Equip./Seguridad,Materiales,Plazas posteriores,Comp. equilibrado,Sistema de tracción","Baúl justo,Consumo urbano,Precio ,Distancias de frenado,Caja con patinamiento",,,"Baúl justo,","0.9994692802429199,"
Toyota RAV4 Limited Hybrid,Toyota,RAV4 Limited,8.2,8.0,8.6,8.1,8.3,"Consumos,Eq. de seguridad,Capacidad de baúl,Auxilio original,Potencia combinada","Precio elevado,Multimedia,Capacidad off road,Maniobrabilidad,Solo híbrido","Eq.,seguridad,Capacidad,baúl,Auxilio original,","0.9930378198623657,0.9719952940940857,0.9259244799613953,0.9938846230506897,0.9992674589157104,","Precio elevado,Multimedia,Capacidad,road,Maniobrabilidad,","0.9999995231628418,0.9999997615814209,0.9999909400939941,0.5652095079421997,0.9533188343048096,"
Nissan Leaf,Nissan,Leaf,7.9,8.2,8.0,8.0,7.8,"Autonomía en ciudad,Equilibrio de suspensiones,Equipamiento de seguridad,e-Pedal,Prestaciones,Capacidad de baúl,Insonorización,Garantía sistema EV","Faltantes en confort,Autonomía en ruta,Tiempo de carga en 220v,Freno estacionamiento,Precio",,,,
Volkswagen Vento GLI,Volkswagen,Vento GLI,8.0,8.0,8.0,8.4,8.3,"Prestaciones,Comportamiento dinámico,Eficiencia de los frenos,Recuperaciones","Precio elevado,Auxilio temporal,Espacio posterior justo","Prestaciones,dinámico,","0.9980097413063049,0.6864856481552124,","Precio elevado,Auxilio temporal,Espacio posterior,","1.0,1.0,0.9999901056289673,"
Toyota Innova SRV 2.7 Automática,Toyota,Innova SRV 2.7 AT,7.6,8.0,7.3,7.5,7.1,"Calidad percibida,Seguridad en 8 plazas,Configuración de butacas,Baúl con tercera fila rebatida,Precio comparativo","Rigidez de la suspensión,Consumos elevados,Faltantes de equipamiento,Sensores de estacionamiento,Sin opción diésel",,,,
Volkswagen Golf 1.4 TSI Highline,Volkswagen,Golf 1.4 TSI Highline,8.0,8.3,7.9,8.3,8.1,"Diseño “Golf” actualizado ,Materiales/Terminación ,Equilibrio de suspensiones ,Insonorización ,Prestaciones/Consumo","Ausencia de levas al volante ,Navegador no disponible de serie ,Quinta plaza limitada, Reglaje manual de butacas ,Radio de giro mejorable",,,"Ausencia,","0.8549458384513855,"
Volkswagen Polo 1.6 Comfortline MT,Volkswagen,Polo 1.6 Comfortline MT,7.4,7.6,7.5,7.6,7.7,"Motor/Consumo,Plazas traseras,Prestaciones,Equilibrio suspensiones,Capacidad del baúl","Faltantes de equipamiento,Insonorización,ESP no disponible,Diseño convencional,Sin sensores estacionamiento/lluvia",,,,
Nissan NP300 Frontier LE AT (2016),Nissan,Frontier LE 4x4 AT (2016),7.7,8.0,7.8,7.9,8.4,"Diseño,Mejoras de equipamiento,Prestaciones,Confort de marcha ","Precio,Solo dos airabgs,Posición de manejo,Algunas terminaciones",,,,
Volkswagen Golf GTi DSG (2.0/220CV),Volkswagen,Golf GTi DSG 2.0,8.1,8.2,7.9,8.6,8.1,"Prestaciones/Caja DSG, Motor eficiente/Elasticidad, Terminación/Materiales,Equipamiento de serie ,Suspensiones equilibradas","Precio elevado ,Distancias de frenado justas ,Valores de consumo ,Auxilio temporal ,Visibilidad posterior",,,"Precio elevado,Distancias,frenado,Valores,Auxilio temporal,","0.9999958872795105,0.9956743121147156,0.6510366201400757,0.9999935626983643,0.990271270275116,"
Toyota SW4 4×4 SRX MT,Toyota,SW4 4x4 SRX MT,7.7,7.6,7.9,7.7,7.8,"Aptitudes off road ,Equipamiento de serie ,Robustez estructural,Imagen de confiabilidad ,Opticas Bi-LED ,Selector de tracción","Sistema rebatible 3ª fila ,Recuperaciones en 5ª y 6ª ,Radio de giro limitado ,Respuesta lenta de dirección ,Sensible a vientos laterales, Precio elevado",,,,
Fiat Toro Volcano 4×4 2.0 170 CV,Fiat,Toro Volcano 4x4 2.0 170 CV,7.7,7.8,7.9,7.5,7.8,"Calidad de materiales,Desempeño dinámico en ruta,Consumos,Capacidad de caja","Gama acotada (solo un motor),Auxilio temporal,Plazas traseras acotadas,Pocos portaobjetos","Calidad,dinámico,","0.941970944404602,0.769529402256012,","Gama acotada,solo un motor,Auxilio temporal,Plazas traseras,","0.9997602105140686,0.7708176970481873,0.9997813105583191,0.8275854587554932,"
Chevrolet Cruze LTZ Plus,Chevrolet,Cruze LTZ Plus,8.1,7.9,8.0,7.8,8.3,"Estética deportiva,Equipamiento de serie confort,Tecnología aplicada,Prestaciones,Precio comparativo","Diseño impersonal,Auxilio temporal,Visibilidad panorámica,Dirección sobreasistida,Confort en ciudad","Estética deportiva,Equipamiento,serie confort,Tecnología aplicada,Prestaciones,","0.9999995231628418,0.9999972581863403,0.9999939799308777,0.9988483190536499,0.7260294556617737,","Diseño impersonal,temporal,","0.9906336665153503,0.9623608589172363,"
Fiat Mobi Easy Top,Fiat,Mobi Easy Top,6.7,6.7,6.4,6.8,6.0,"Precio contenido,Maniobrabilidad urbana,Garantía de tres años,Consumo reducido","Prestaciones limitadas,Espacio interior,Baúl pequeño,Selector de caja gomoso","Precio,Maniobrabilidad,reducido,","0.7164366245269775,0.9282593131065369,0.8914723992347717,","Prestaciones,","0.9998506307601929,"
Chevrolet S10 High Country 4×4 AT,Chevrolet,S10 High Country 4x4 AT,7.6,7.3,7.8,7.5,8.2,"Potencia/torque,Mejora de equipamiento,Prestaciones/eficiencia del motor,Precio competitivo","Faltantes de seguridad,Auxilio de diferente medida,Visibilidad panorámica ,Consumo en ciudad","Potencia,torque,","0.992774486541748,0.989790141582489,","Auxilio,","0.8450048565864563,"
Chevrolet Onix LTZ AT,Chevrolet,Onix LTZ AT,7.2,7.0,7.0,7.0,7.0,"Precio,Consumo,Garantía,Equipamiento de confort","Seguridad,Auxilio temporal,Dirección algo pesada",,,"Seguridad,Auxilio temporal,Dirección,","1.0,0.9999996423721313,0.9999998807907104,"
Volkswagen Touareg V8 4.2 AT,Volkswagen,Touareg V8 4.2 AT,8.2,8.3,8.1,8.1,8.2,"Prestaciones deportivas,Suspensiones equilibradas,Posición de manejo,Espacio interior,Conducción agradable","Auxilio temporal,Maniobrabilidad urbana,Precio elevado,Consumo en transito pesado,Visibilidad panoramica",,,"Auxilio temporal,Maniobrabilidad urbana,Precio elevado,Consumo en,transito pesado,Visibilidad panoramica,","1.0,0.9999969601631165,0.9999942183494568,0.7516564130783081,0.9920504689216614,0.9998979568481445,"
Volkswagen Vento 1.4 TSI Highline DSG (2016),Volkswagen,Vento 1.4 TSI Highline DSG (2016),7.9,8.0,8.0,8.2,8.3,"Balance de suspensiones,Prestaciones correctas,Auxilio y llantas homogéneos,Capacidad de baúl,Conducción agradable","Diseño exterior convencional,Algunos faltantes de equipamiento,Navegador no disponible,Luces halógenas,Precio comparativo",,,"Diseño,","0.6637458205223083,"
Chevrolet Tracker LTZ AWD,Chevrolet,Tracker LTZ AWD,7.3,7.2,7.0,7.4,7.2,"Equipamiento de seguridad,Tecnología aplicada,Calidad general,Nuevo diseño del tablero","Capacidad de baúl,Comportamiento off road,Auxilio temporal,Unión motor/caja","Equipamiento,Tecnología aplicada,Calidad general,","0.9999998807907104,0.9997529983520508,0.9985523223876953,","Capacidad,","0.9461327791213989,"
Nissan Murano Exclusive CVT,Nissan,Murano Exclusive CVT,8.0,8.3,8.1,7.4,8.0,"Estética deportiva,Potencia disponible,Calidad general,Consumo contenido,Confort de marcha","Capacidad off road,Sin levas al volante,Faltantes de equipamiento,Precio elevado,Sistema multimeda/navegador","Estética,","0.9955848455429077,","Capacidad,","0.9994901418685913,"
Toyota Corolla SE-G,Toyota,Corolla SE-G,7.7,7.6,7.5,7.7,7.6,"Equipamiento,Faros bi led,Habitabilidad,Confiabilidad","Radio de giro,Tenida direccional,Despeje delantero,Auxilio temporal","Equipamiento,Faros,bi led,","0.9999998807907104,0.9987045526504517,0.996645450592041,","Radio,giro,Tenida direccional,Despeje,delantero,Auxilio temporal,","1.0,0.9954982995986938,0.9999942779541016,0.9999969005584717,0.7782188653945923,0.9999328851699829,"
Volkswagen Passat 2.0 TSI Highline,Volkswagen,Passat 2.0 TSI Highline,8.3,8.6,8.5,8.4,8.1,"Equipamiento de serie,Espacio interior,Diseño/Terminación,Suspensiones,Prestaciones","Visibilidad posterior,Consumo promedio,Precio comparativo,Ordenador poco intuitivo,Gama reducida",,,"Visibilidad posterior,Consumo promedio,Precio comparativo,Ordenador poco intuitivo,Gama reducida,","1.0,0.999997615814209,0.9999999403953552,0.9999988675117493,0.9998720288276672,"
Toyota Prius CVT,Toyota,Prius CVT,7.7,7.7,7.8,7.5,7.8,"Consumo/autonomía,Equipo de seguridad,Agrado de uso,Confort de marcha,Garantía de 6 años","Visibilidad posterior,Prestaciones limitadas,Selector de caja,Despeje delantero,Diseño",,,,
Jeep Compass Longitude 4×4,Jeep,Compass Longitude 4x4,7.6,7.7,8.2,7.8,7.5,"Plazas traseras espaciosas,Diseño exterior/interior,Equilibrio de suspensiones,Tracción con 4 funciones,Terminaciones correctas","Relación peso/potencia ,Visibilidad panorámica,Relaciones de caja “largas”,Consumo promedio ,Ausencia navegador de serie",,,,
Volkswagen Amarok V6 TDI 4motion,Volkswagen,Amarok V6 TDI 4motion,7.8,8.1,8.0,7.6,8.0,"Prestaciones,Eficiencia de la transmisión,Comportamiento dinámico,Equilibrio de suspensiones,Equipamiento de serie","Respaldos de plazas traseras,Consumo urbano,Maniobrabilidad en ciudad,Precio comparativo,Visibilidad panorámica",,,,
Fiat Argo Precision Pack Premium 1.8 MT,Fiat,Argo Precision Pack Premium 1.8 MT,7.3,7.3,7.3,7.1,7.3,"Equipamiento de confort,Gama variada,Relación precio producto,Control de estabilidad,Confort de marcha","Consumo,Prestaciones domésticas,Sin navegador,Diseño impersonal,Radio de giro",,,,
Volkswagen Up! Pepper 1.0 MT,Volkswagen,Up! Pepper 1.0 MT,7.0,6.6,6.6,7.2,7.9,"Relación peso potencia,Inclusión del ASR,Presentación interior,Agilidad en ciudad","Falta ESP,Precio comparativo,Plazas traseras,Poder lumínico",,,"ESP,Precio comparativo,Plazas traseras,Poder lumínico,","0.9999889135360718,1.0,0.9999998807907104,0.9999983310699463,"
Nissan Kicks Exclusive 1.6 CVT,Nissan,Kicks Exclusive 1.6 CVT,7.3,7.8,7.3,7.2,7.0,"Diseño,Equipamiento,Calidad/Terminación,Baúl,Auxilio","Funcionamiento de caja,Consumo urbano,Recuperaciones,Dirección sobreasistida,Autonomía","Terminación,","0.8533857464790344,","Funcionamiento,","0.9979838132858276,"
Jeep Cherokee Trailhawk 3.2 AT9,Jeep,Cherokee Trailhawk 3.2 AT9,7.4,7.2,7.7,7.5,7.3,"Calidad general,Capacidad off road,Confort de marcha,Desempeño dinámico,Aislación acústica","Quinta plaza,Consumo urbano,Visibilidad panorámica,Diámetro de giro,Garantía","Calidad general,Capacidad,road,Confort,marcha,Desempeño dinámico,","0.9935119152069092,0.999869704246521,0.4594310522079468,0.9839764833450317,0.9926861524581909,0.9991731643676758,","Quinta plaza,Consumo urbano,Visibilidad panorámica,Diámetro,","0.9999977350234985,0.9999881386756897,0.9997949004173279,0.9999986886978149,"
Jeep Renegade Trailhawk 2.0 Diésel 4×4,Jeep,Renegade Trailhawk 2.0 Multijet AT9 4x4,7.2,7.2,7.6,7.3,7.3,"Diseño personal,Equipamiento,Robustez estructural,Off Road / Tracción","Radio de giro limitado,Baúl justo,Sensibilidad al viento,Precio comparativo",,,"Radio,giro limitado,Baúl justo,Sensibilidad,viento,Precio comparativo,","1.0,0.9999788999557495,0.9999977350234985,0.9999998807907104,0.9475462436676025,0.9999523162841797,"
Fiat Tipo Easy,Fiat,Tipo Easy,7.6,7.7,7.6,7.4,7.2,"Equipamiento,Habitabilidad/baúl,Diseño logrado,Capacidad de frenado,Precio competitivo","Recuperaciones,Reacción lenta de la caja,Tanque chico,Auxilio temporal,Ausencia de navegador","Equipamiento,baúl,Diseño logrado,","0.9999678134918213,0.9999885559082031,0.797951340675354,",,
Fiat Argo Drive Pack Conectividad,Fiat,Argo Drive Pack Conectividad,7.0,7.4,6.9,7.0,7.0,"Habitabilidad,Capacidad de baúl,Direccioón eléctrica ,Confort de marcha","Consumo,Recorridos de la caja,Auxilio temporal,Sin ESP","Habitabilidad,Capacidad,baúl,Direccioón,","0.9999731779098511,0.999747097492218,0.9999948740005493,0.9979384541511536,","la caja,Auxilio temporal,","0.9339361190795898,0.934314489364624,"
Fiat 500x Cross Plus 1.4 AT,Fiat,500x Cross Plus 1.4 AT,7.5,7.3,7.5,7.7,7.8,"Equipamiento,Calidad general,Diseño,Prestaciones correctas,Auxilio homogéneo","Quinta plaza,Precio elevado,Sin chapón,Consumo,Distancias de frenado",,,"Quinta plaza,Precio elevado,chapón,Consumo,Distancias de,","1.0,0.9999988675117493,1.0,0.9999632835388184,0.9886007905006409,"
Volkswagen Polo 1.6 AT6 Highline,Volkswagen,Polo 1.6 AT6 Highline,7.4,7.6,7.1,7.8,7.3,"Estética agradable,Espacio interior,Presentación interior,Consumo contenido,Instrumental","Auxilio temporal,Precio comparativo,Potencia limitada,Distancias de frenado,Prestaciones en general","Estética,","0.9511692523956299,","Auxilio temporal,Precio comparativo,Potencia limitada,","0.9999514818191528,0.997155487537384,0.7571315169334412,"
Fiat Cronos Precision Premium 1.8 MT,Fiat,Cronos Precision Premium 1.8 MT,7.4,7.4,7.4,7.1,7.3,"Diseño,Equipamiento de confort,Distancia de frenado,Confort de marcha,Motor con cadena","Consumo,Prestaciones domésticas,Autonomía,Radio de giro,Caja imprecisa",,,"Consumo,Prestaciones domésticas,","0.9584097862243652,0.9890190958976746,"
Porsche 718 Cayman S,Porsche,718 Cayman S,7.9,7.2,8.0,8.7,8.9,"Prestaciones,Comportamiento,Consumo,Mecánica","Precio,Sin auxilio (kit),Confort de marcha,Capacidad de baúl","Prestaciones,","0.9999985694885254,","Precio,auxilio,kit,Confort de,marcha,Capacidad,baúl,","0.999863862991333,1.0,0.9986856579780579,0.7503358125686646,0.9698238968849182,0.7793250679969788,0.520049512386322,"
Fiat 500 Abarth 595 Turismo,Fiat,500 Abarth 595 Turismo,7.7,7.0,7.9,8.3,8.3,"Diseño,Desempeño dinámico,Consumo/Prestaciones,Potencia CV/Litro","Caja de solo 5ta,Plazas traseras/Baúl,Sin auxilio/Kit,Confort de marcha","Diseño,Desempeño dinámico,Prestaciones,","0.5129983425140381,0.9999726414680481,0.6628320217132568,",,
Volkswagen Tiguan 2.0 TSI Allspace 4Motion DSG,Volkswagen,Tiguan 2.0 TSI Allspace 4Motion DSG,8.4,8.7,8.5,8.2,8.3,"Nivel de equipamiento,Calidad general,Distancias de frenado,Prestaciones,Espacio interior","Baúl con 7 plazas,Visibilidad panorámica,Autonomía,Auxilio temporal,Consumos","Nivel,","0.9843313097953796,","Autonomía,Auxilio temporal,","0.8296178579330444,0.8874710202217102,"
Fiat Cronos Drive 1.3 MT,Fiat,Cronos Drive 1.3 MT,6.9,7.1,6.4,6.7,7.5,"Confort de marcha,Precio atractivo,Baúl espacioso,Conectividad,Consumos contenidos","Prestaciones,Selector,Equipamiento de seguridad,Comportamiento dinámico,Ausencia de ESP",,,"Prestaciones,dinámico,","0.9974479675292969,0.7404299974441528,"
Volkswagen Virtus 1.6 MSI Highline AT,Volkswagen,Virtus 1.6 MSI Highline AT,7.7,8.0,7.6,8.0,7.2,"Espacio interior/baúl,Suspensiones,Consumo austero,Distancias de frenado,Agrado de conducción","Auxilio temporal,Prestaciones modestas,Seguridad mejorable,Relación peso/potencia,Precio comparativo",,,"Auxilio,","0.8703964948654175,"
Nissan X-Trail Exclusive 2.5 CVT 4×4,Nissan,X-Trail Exclusive 2.5 CVT 4x4,7.6,7.8,7.6,7.6,7.0,"Capacidad off road,Espacio interior,Precio comparativo,Confort de marcha,Consumo en ruta","Consumo en ciudad,Multimedia mejorable,Tecnología escueta,Rediseño en Europa,Gama acotada","Capacidad,","0.6495194435119629,","Consumo,ciudad,Multimedia mejorable,Rediseño,Europa,","0.6207675933837891,0.9930185675621033,0.9863125085830688,0.9153961539268494,0.8729875683784485,"
Chevrolet Camaro SS Cabrio,Chevrolet,Camaro SS Cabrio,7.5,7.2,7.6,8.0,7.6,,,,,,
