Nombre,Marca,Modelo,Estrellas,Opinion,Votos,Fecha
Chevrolet Zafira 2001 4 puertas full 2.0 8v.,chevrolet,Zafira,4,"hola necesito saber si puedo cambiar motor chevrolet zafira gls 2.0 8v 2009, es compatible con auto chevrolet zafira gl 2.0 8v 2001?",0,2018-10-29 18:01:07.054000+00:00
Chevrolet Zafira 2004 5 puertas full equipo,chevrolet,Zafira,5,El vehículo chevrolet ZAFIRA es uno de los mejores.pero su gran problema es que no hay repuestos originales GM en el mercado.tampoco te dan opciones como para mandar pedidos es un desastre por es lado.ahora mi problema de caja de transmicion tengo que buscar que adaptarlo con alguna otra marca y modelo de coche.si alguien me pueda ayudar.con que modelo en específico lo puedo adaptar mi zafira es de 2004 y motor 2000 cc.8v.....gracias,0,2018-09-03 23:22:53.616000+00:00
Chevrolet Zafira 2009 2.0 Full,chevrolet,Zafira,4,"Es un auto muy bueno, es comodo y puedo llevar todo cuando me voy de viaje.",2,2018-08-16 02:38:29.539000+00:00
Chevrolet Zafira 2003 1.8,chevrolet,Zafira,3,"Nunca dio problema, de repente se apagó y al tiempo vuelve a arrancar, no le encuentran el problema.",2,2018-08-13 17:23:28.628000+00:00
Chevrolet Zafira 2002 Confort,chevrolet,Zafira,5,Buen vehículo tiene buen desempeño,1,2018-08-13 04:40:57.957000+00:00
Chevrolet Zafira 2002 Comfort,chevrolet,Zafira,5,"Excelente en todo, amplia económica",0,2018-08-05 18:54:06.252000+00:00
Chevrolet Zafira 2010 FULL FULL,chevrolet,Zafira,5,Un caño. Nunca pense que eran tan buenas.,0,2017-10-19 04:53:53.970000+00:00
Chevrolet Zafira 2006 zafira,chevrolet,Zafira,3,"Confortable, los repuestos caros, la tapa de valvula de plástico se deforma y vale una fortuna, la resistencia de la calefacción carísima y dificil de conseguir",2,2017-10-16 02:01:09.865000+00:00
Chevrolet Zafira 2009 full,chevrolet,Zafira,5,excelente auto familiar...,0,2017-08-04 02:04:51.131000+00:00
Buick Verano 2013 Turbo,buick,Verano,3,"Problemas eléctricos, no enciende hasta después de diez minutos",0,2020-06-28 22:44:44.177000+00:00
Buick Rendezvous 2002 5 puertas,buick,Rendezvous,3,Pues esta en condiciones regulares,0,2020-08-23 16:19:44.538000+00:00
Buick Enclave 2011 4 puertas 3.6,buick,Enclave,4,"Todo bien, compré el auto usado. Solo problema con la pantalla del radio, no se ve, pero si se escucha.",0,2019-07-30 07:37:35.410000+00:00
Cadillac Escalade 2003,cadillac,Escalade,5,Se le cambio aceite y se le sigue prendiendo la luz del aceite,0,2020-09-22 09:08:10.347000+00:00
Cadillac CTS 2004 Cts,cadillac,CTS,5,Un auto perfecto trabaja de maravilla muy lujoso y excelente manejo,0,2020-10-12 00:01:57.578000+00:00
Cadillac CTS 2011 sedan premium B,cadillac,CTS,5,"excelente carro! , definitivamente seguire con la linea cadillac",0,2019-11-04 22:54:03.919000+00:00
Cadillac CTS 2011 coupe,cadillac,CTS,4,Excelente vehículo hace poco empezo con ruidos en la consola de la palanca de velocidades,0,2019-07-24 14:27:20.081000+00:00
Chevrolet Vivant 2007 2.0 full,chevrolet,Vivant,5,Muy bueno! Con mucho espacio y confort,1,2020-07-01 02:54:27.954000+00:00
"Chevrolet Vivant 2008 4 pueras, full equipo, Sunroof",chevrolet,Vivant,2,"Excelente espacio, comodidad, prestaciones, la radio deja mucho que desear, muy buenos parlantes para el año de fabricación... pero gastador como el solo... de 7 a 8 km por litro... un abuso...",-1,2020-01-30 11:53:34.894000+00:00
Chevrolet Vivant 2012 5 puertas full vivant,chevrolet,Vivant,4,Es muy bueno recien tebgo problema con la transmision,1,2019-09-06 14:10:19.539000+00:00
Chevrolet Vivant 2005 4puertasfull 1.6,chevrolet,Vivant,4,Comodo y economico pero ultimamente se me ha vueto dolor de cabeza,1,2019-05-07 23:36:16.659000+00:00
Chevrolet Vivant 2008 Motor 2,chevrolet,Vivant,3,Se m acelera demasiado compré una válvula q va en el cuerpo de aceleración pero como ago para calibrar y en el panel de m queda prendido el chek,0,2019-02-24 00:43:00.833000+00:00
Chevrolet Vivant 2005,chevrolet,Vivant,4,Tengo chevrolet vivant 2005 la luz del aseite se ensiende después de un tiempo arrancado el carro quien me da alguna opinión  el aseite ta bien,0,2019-01-13 01:11:28.658000+00:00
Chevrolet Vivant 2007 automatico 2000cc   full,chevrolet,Vivant,5,es un excelente  auto  se comporta  como camioneta  a pesar de ser  sedan,0,2018-09-02 09:35:53.471000+00:00
Chevrolet Vivant 2008 vivant,chevrolet,Vivant,1,es un vihiculo  muy confortable,0,2018-08-01 02:48:58.919000+00:00
Chevrolet Vivant 2007,chevrolet,Vivant,4,"es un vehiculo muy comodo, esta muy equipada no le debe envidiar nada a los autos nuevos, lo importante es que le des mantenimiento correcto y un buen uso y tendra un buen carro por mucho tiempo",4,2017-10-28 14:49:29.553000+00:00
Chevrolet Venture 2001 5 puertas motor 3.4,chevrolet,Venture,4,"Tengo problemas con la potencia del motor. En una subida empieza a perder fuerza y llega el momento de apagarse el detalle que al regresar a una calle planita se estabilisa , Para revasar lo mismo pierde potencia el motor",0,2020-08-23 12:22:16.338000+00:00
Chevrolet Venture 1998 5 puertas,chevrolet,Venture,5,Ok entonces cuales me recomiendan o tendré que cambiar resortes,0,2020-01-06 23:12:19.428000+00:00
Chevrolet Vectra 1992 sedan 4 puertas2.0,chevrolet,Vectra,5,Adquirí un vectra año 92hace una semana muy cómodo y bien equipado nada que envidiar a un carro nuevo,0,2020-10-24 02:42:39.644000+00:00
Chevrolet Vectra 2007 gls 2.4,chevrolet,Vectra,5,"excelente andar, confort de primera alto consumo",0,2020-10-01 00:51:31.458000+00:00
"Chevrolet Vectra 2003 4 puertas, 2.2",chevrolet,Vectra,4,Acabo de adquirirlo es un modelo ya atrasado pero nada que envidiar a ningún auto de este año muy cómodo y buen manejo,1,2020-09-10 02:18:42.559000+00:00
"Chevrolet Vectra 2003 4puerts equipado motor ,3,2",chevrolet,Vectra,3,"Asta hora es seguro , Es aorrativo cómodo potente con buena imagen buen manejo",1,2020-07-07 03:24:52.803000+00:00
Chevrolet Vectra 2003 V6,chevrolet,Vectra,5,Tengo un Vectra 203 Nole prende el tablero ni Maracaibo nada me podrían ayudar,-2,2020-06-19 13:08:06.996000+00:00
Chevrolet Vectra 2007 4 puertas 2.4 16 v. CD,chevrolet,Vectra,5,"Es mi primer auto de alta gama.estoy enamorado. De mi Vectra, también tengo un r21 .para trabajar es inromplible .",1,2020-06-09 07:54:33.061000+00:00
Chevrolet Vectra 2006 elegance 4 ptas 2.8 turbo,chevrolet,Vectra,5,"Buen vehiculo,buena estabilidad en curvas,rapido y unos excelentes frenos,buen aislamiento del ruido exterior.",2,2020-05-08 17:37:38.013000+00:00
Chevrolet Vectra 2004  Maq 2.2,chevrolet,Vectra,3,Se puso dura la dirección ya arregle cremayera xr fugas y sólo funcionó una semana y se volvió a poner dura la dirección,4,2020-05-02 01:02:19.953000+00:00
Chevrolet Vectra 1997 5,chevrolet,Vectra,4,muy buen auto excelente confort y menejo,1,2020-02-20 21:42:10.548000+00:00
Chevrolet Vectra 2010 GLS,chevrolet,Vectra,5,"Lo compre 0 Km y aun lo tengo,muchas satisfacciones,super comodo",1,2020-02-08 15:26:30.185000+00:00
Chevrolet Vectra 2007 2.4 CD full,chevrolet,Vectra,5,"Es un auto muy completo, es caro de mantener, repuestos caros y consume mucho. Después de eso es un auto con un confort de pocos",2,2020-02-04 10:56:48.310000+00:00
Chevrolet Vectra 2007 CD 2.4 MT 150CV,chevrolet,Vectra,5,"Me enamoré del CD 2.4, lástima que lo dejaron de fabricar.",-1,2020-01-19 18:19:49.309000+00:00
"Chevrolet Vectra 2007 Motor 2.8 turbo, modelo 2007",chevrolet,Vectra,4,"Excelente auto, solo que no encuentro refacciones como lo es sensor del nivel del refrigerante, donde puedo conseguir si alguien me puede ayudar se los agradecería",1,2020-01-18 02:00:28.552000+00:00
"Chevrolet Vectra 2009 4 puertas, full, motor 2.0",chevrolet,Vectra,5,"Excelente auto, confort, estética etc...",1,2020-01-16 14:38:50.913000+00:00
Chevrolet Vectra 2005 3.2,chevrolet,Vectra,3,"buen carro vectra ,  , buen carro , buen carro ,  , buen carro",0,2020-01-10 01:49:56.769000+00:00
Chevrolet Vectra 1997 4 puerta full 2.0,chevrolet,Vectra,5,Nose porque me sube la temperatura lo lleve al mecanico le canbio la bonba de agua sigue calentando le saco el termo estato y no tenia el termo tato debe ser eso poreso me sube la temperatuara,1,2019-11-26 00:05:24.782000+00:00
Chevrolet Vectra 2004 3.2 v6 paq g elegance,chevrolet,Vectra,5,"Súper nave lo compre de uso  , Tengo 4 años con el cero fallas",6,2019-11-21 21:38:34.154000+00:00
Chevrolet Vectra 2003 5 puerta,chevrolet,Vectra,1,Tengo problems con la direction de puso dura y me tiro El aceite,1,2019-11-07 00:42:27.605000+00:00
Chevrolet Uplander 2008 LS,chevrolet,Uplander,4,"Mod 2008 la compre en seminuevos de agencia Chevrolet tengo 3 años con ella y no ha tenido mas que una falla por que necesitaba bateria nueva ,y hace como un año dejaron de funcionar los botones para abrir las puertas , solo se abren al poner en Parking la palanca o al sostener la llave por 3 segundos en la cerradura.",-2,2019-06-23 05:39:10.615000+00:00
Chevrolet Vectra 2004 4 puertas,chevrolet,Vectra,2,E tenido muchos problemas últimamente y no me lo dejan bien tiembla mucho como si quisiera ahogarse aun donde va corriendo y pierde fuerza y por mas que pizo el acelerador no responde hasta de rato arranca pero vuelve a perder fuerza,0,2019-10-25 19:40:05.327000+00:00
Chevrolet Uplander 2007 lt,chevrolet,Uplander,3,Son muy comodas para viajar y dependiendo del cuidado que uno les de así se habrán de comportar,3,2018-07-11 19:02:38.929000+00:00
Chevrolet Vectra 2005 Vectra 3.2 v6,chevrolet,Vectra,4,Es un carro muy bonito pero costoso,3,2019-10-01 21:23:40.388000+00:00
Chevrolet Uplander 2007 3.9,chevrolet,Uplander,3,Camioneta muy comoda pero un poco latosa. Cara en sus refacciones originales.,5,2018-07-11 16:02:41.293000+00:00
Chevrolet Vectra 2007 Turbo sport,chevrolet,Vectra,4,"Excelente auto, es un avión,  muy cómodo,",5,2019-08-02 17:37:43.072000+00:00
"Chevrolet Uplander 2005 3,5 4 puertas",chevrolet,Uplander,5,"Muy buen vehículo,  rápido y cómodo , de consumo moderado para su motor y mantenciones muy económicas.",-1,2018-06-15 20:17:28.238000+00:00
Chevrolet Vectra 2003 4 puertas,chevrolet,Vectra,5,Hola qué tal! Mi Vectra! Se lo llevaron a una fiesta mi familia! Me comentan que les agarró una lluvia fuerte mi duda si al Vectra le iso daño estar tanto tiempo en una calle enlagunada y lloviendo! Dsd hay la dirección se puso durísima dice el mecánico que lo vino a ver q tiene un corto ya que checo la bomba de la licuadora y le iso servicio para ver si quedaba y no?! Cambió un fusible q están alado de la batería y encendió la bomba pero en un rato quemó el fusible! Me podrían ayudar por favor! :),1,2019-07-10 02:07:46.877000+00:00
Chevrolet Uplander 2005 Uplander 5 puertas motor 3.5,chevrolet,Uplander,4,Es buena comoda y amplia hace 6 años la tengo pro como todo nada es para siempre cada pieza tiene tiempo de vida no me quejo chevrolet es lider en camionetas,2,2018-01-29 02:25:41.976000+00:00
Chevrolet Vectra 2005 4 puertas ecotec 2.2,chevrolet,Vectra,4,Repare la cabeza xq se quedó pegado el tornillo tensor y ya todo colocado de reparado lo enciendo y cuestión de 10 o 15 segundos empieza a sonar la cadena ya cambié el tornillo y no se le quita el ruido antes no lo hacia,1,2019-05-25 00:22:38.397000+00:00
Chevrolet Uplander 2008 5 puertas,chevrolet,Uplander,3,Me pueden ayudar donde se encuentra el número de motor gracias,0,2018-01-01 22:44:42.736000+00:00
Chevrolet Vectra 2003 Vectra,chevrolet,Vectra,5,Que es lo que más le falla a un Vectra que tanto me lo recomiendan,-12,2019-05-01 07:30:04.837000+00:00
Chevrolet Uplander 2005 4 puertas,chevrolet,Uplander,3,"Es muy cómoda, pero tengo un problema con ella, se apaga sola y sale en tablero llave desconectada y luego pone potencia de motor reducida, ya le pusieron escaner y no le sal nada",0,2017-10-29 23:46:45.853000+00:00
Chevrolet Vectra 2004 4puertas 2.2 16v CD,chevrolet,Vectra,5,"Mi VECTRA es modelo 2004. Es un verdadero auto nada que envidiarle a los autos de hoy, tanto en confort como en su mecanica , Un fierrazo",3,2019-04-08 05:01:28.400000+00:00
Chevrolet Trooper 1992 2 puertas 4x4 2300 cc,chevrolet,Trooper,4,muy buen veiculo por algo no lo e cambiado por otro aunque fuera nuevo,0,2019-11-26 18:28:24.024000+00:00
Chevrolet Vectra 2008 vectra 2.4 A/T  full,chevrolet,Vectra,5,Un verdadero caño. La 1º vez que tengo un inconveniente menor con el mismo.,2,2019-04-01 20:33:43.434000+00:00
Chevrolet Trooper 1999 960 - 3 Puertas,chevrolet,Trooper,3,"-Alto consumo de Aceite , -La mínima no se mantiene, se acelera. , Excelente vehículo",0,2019-07-15 00:21:17.626000+00:00
Chevrolet Vectra 2005 3.2 V6 opel,chevrolet,Vectra,5,Me encanta la seguridad y menejo así como potencia 230 km en carretera muy aguil seguro y potente lo compraría en modelo 2019 si lo fabricarán,1,2019-03-21 05:45:16.446000+00:00
Chevrolet Trooper 1993 4 puertas,chevrolet,Trooper,5,el trooper 3.2 japones es un vehículo muy bueno,-2,2018-03-30 04:49:41.976000+00:00
Chevrolet Vectra 2004 motor 2.2 4 cilindros,chevrolet,Vectra,4,"buen carro, espacioso, elegante, correlon ademas de seguro; les comparto que tuve un accidente en un vectra 2004 fue perdida total, pero en mi persona solo tuve una fractura de mano debido a que tiene muy buena seguridad en cuanto a su carroceria y el sistema de air bag; me gusto tanto este auto que en cuanto tuve oportunidad volvi a adquirir otro igual, lo unico malo es que es algo costoso el mantenimiento pero fuera de eso lo recomiendo sin duda alguna",5,2019-02-20 19:59:06.719000+00:00
Chevrolet Vectra 2004 CD 2.2 16v,chevrolet,Vectra,5,Buen auto muy cómodo y equipado para su año.,3,2019-02-03 16:52:02.722000+00:00
Chevrolet Vectra 1999 GLS mpfi,chevrolet,Vectra,5,"Excelente, cómodo,buena aerodinámica,frenos excelente,dosil,un vehículo bien hecho",0,2018-09-12 14:06:01.971000+00:00
Chevrolet Vectra 2004 4 puertas 3.2 6 v,chevrolet,Vectra,5,No tengo el código del stereo que puedo hacer?,0,2018-08-06 20:09:56.052000+00:00
Chevrolet Vectra 2006 4 puertas motor 2.8ltr turbo,chevrolet,Vectra,4,Yo lo tengo desde hace un año y lo que me apasado con el carro fue que se me descompuso de la transmisión automática es de 6 Vel más reversa y fue un problema para que me la repararán pero cuando quedó a andado muy bien el carro ya no dio lata de nada es muy buen carro cómodo y elegante y correlon no le pide nada a un deportivo nuevo estoy muy Agusto con mi Vectra recomendado.,4,2018-08-06 01:37:00.569000+00:00
"Chevrolet Vectra 2003 V6, MOTOR 3.2",chevrolet,Vectra,5,"ES MUY BUEN AUTO, MUY COMODO, SEGURO Y POTENTE SIENDO DE 24 VALVULAS, LO UNICO MALO QUE SI ES MUY DELICADO, Y LAS PIEZAS MUY CARAS, AQUI EN MEXICO VIENEN DIRECTOS DE OPEL ALEMANIA Y SON DE MUY BUENA  CALIDAD",3,2018-07-19 06:59:20.036000+00:00
"Chevrolet Vectra 2003 4 puertas, 3.2, de lujo",chevrolet,Vectra,4,"Es un super vehiculo!! Lo unico malo, es que en Mex ya no lo fabrican y las refacciones son caras...pero el auto esta de lujo...",4,2018-07-08 05:03:42.709000+00:00
Chevrolet Vectra 2009 2.4 16 valvulas,chevrolet,Vectra,4,"Un autaso, super cómodo, full, su andar es de lujo. No tiene nada q envidiar a los utos nuevos. Bien espacioso me enamore de este auto. Antes tenía un asta q también son un fierro",7,2018-06-03 04:50:21.702000+00:00
Chevrolet Vectra 2007 2.4 cd full  full,chevrolet,Vectra,5,"Es una bala, terrible vehículo,  100% recomendado!!!",8,2018-04-18 18:29:32.168000+00:00
Chevrolet Vectra 2006 Vectra 4 puertas motor 2.8 turbo,chevrolet,Vectra,5,"Cómodo, rápido , lujoso, moderno a pesar del año , no le pide nada a otro auto, sin palabras manéjalo y la verdad todo mi respeto para este auto",4,2018-04-05 09:24:45.424000+00:00
Chevrolet Vectra 1997 CD 2.0 16v,chevrolet,Vectra,5,"El mejor auto que tuve sin dudarlo consumo espectacular para un 2.0 16v... 16 a 25 km por litro a 100 o 120 km/h... andar suave buena potencia control de traccion q evita andar como trompo en calle mojada, en fin tiene mucha tecnologia lo q no concuerdo mucho es en usar una bateria muy grande porque el consumo de energia es bastante alto igualmente buen auto y comodo para viajar.",0,2018-02-20 04:14:16.538000+00:00
Chevrolet Vectra 2005 2.2 4 CILINDROS,chevrolet,Vectra,5,"HOLA AMIGOS, MI VECTRA ES UN VECTRA 2005, ESTAMOS EN 2018, PERO ES UN CARRAZO, LO COMPRÉ CON 95 000 KMS EL AÑO ANTERIOR, AHORA TENGO 112 000 KMS.  EL AUTO ME EMPEZÓ A FALLAR UNA FALLA RARA, SE APAGÓ EN DOS OCASIONES Y NI DE BROMA ECHARLO A ANDAR HASTA EL DÍA SIGUIENTE,  CUANDO PRENDIÓ, EL TABLERO NO MARCBA Y ME PATEABA LA CAJA. ME DECÍAN QUE LA COMPUTADORA, QUE EL MOTOR, DECIDÍ AFINARLO DE TODO A TODO, BUJÍAS DE DOBLE PLATINO Y LO DEMAS DE BUENA CALIDAD EN AUTOZONE LO COMPRÉ. PUES DEJENME LES CUENTO QUE EL CARRO DEJÓ CUALQUIER FALLA, SE ACELERABA Y QUEDABA PEGADO, PERO SE CORRIGIÓ CON LIMPIEZA DEL CUERPO DE ACELERACIÓN. ASÍ QUE LO PROBÉ EN UN VIAE DE 1 200 KILÓMETROS Y QUEDÉ SORPRENDIDO, CERO FALLAS Y UN CONSUMO DE COMBUSTIBLE EXTRAORDINARIO , APENAS 70 LITROS POR ESE RECORRIDO , QUE CONSIDERANDO QUE RECORRÍ ESA DISTANCIA A MAS DE 2 000 METROS SOBRE EL NIVERL DEL MAR , ES UNA COSA ESPECTACULAR CASI 16 KILÓMETROS POR LITRO Y ARRIBA DE 120 KMS POR HORA.",10,2018-02-06 19:07:43.608000+00:00
Chevrolet Vectra 2000 cd 2.2 16v automatico,chevrolet,Vectra,5,Complicado algunas veces !! Pero es un fierro!!  comodo elegante y con un motorazo !! Ademas de seguro !! Me di un par de piñas q con otro tipo de coche seguro me hubiera lastimado !! Resumen terrible coche !!,1,2017-12-11 04:18:51.794000+00:00
Chevrolet Trax 2013 4 puertas,chevrolet,Trax,4,"Excelente vehículo, solo que las fallas eléctricas son frecuentes y la suspensión es muy dura",0,2020-10-25 01:28:32.107000+00:00
Chevrolet Vectra 2010 5 puertas,chevrolet,Vectra,5,"es un avión en miniatura ,hace 7 años que lo tengo desde 0k ,nunca dió problemas ,mas allá de las mangueras viejas ,eso me lo hizo recalentar un poco una vez ,roturas de radiador ,nada grave ,durisimo de andar estupendo aun en los peores caminos ,ágil ,consume muy poco ,para un 2,4 ,enorme cabina ,baúl ideal para una familia  ,no se fabrica mas en la Argentina ,si no lo volvería a comprar",1,2017-12-01 11:24:43.814000+00:00
Chevrolet Trax 2013,chevrolet,Trax,3,"Hola! Alguien me puede ayudar con una duda. Perfore el tanque de gasolina por que agarre un alambre en carretera, no lo vi. Y he buscado un tanque usado para que se lo puedan cambiar pero solo encuentro de modelos recientes, mi pregunta es: el tanque de gasolina no cambia, aunque cambie el año del modelo?",0,2020-10-20 02:01:57.832000+00:00
Chevrolet Vectra 2003 Vectra,chevrolet,Vectra,5,Es muy buen vehículo pero hay que tener encuenta los detalles de mantenimiento y de hacer en forma correcta.,2,2017-11-14 20:39:33.929000+00:00
Chevrolet Trax 2013 Std 1.8,chevrolet,Trax,3,Como sugerencia al poner el año y modelo de la camioneta poner tambien si es std o aut. Ya que estoy por comprar una standar y no veo comentarios de la trax 2013 std acaso salieron buenas?,0,2020-09-13 18:59:58.898000+00:00
Chevrolet Vectra 2008 4 puertas extra full,chevrolet,Vectra,4,la verdad un exito  totalmente conforme con el vectra elite,2,2017-10-10 23:56:55.516000+00:00
Chevrolet Trax 2016 LTZ,chevrolet,Trax,1,"Buenos días, me ofrece una Trax LTZ en 220mil pesos con 40mil kilómetros, estaba muy animado en comprarla pero leyendo varios comentarios ya estoy en duda de comprar",1,2020-08-04 12:00:06.089000+00:00
Chevrolet Vectra 2007 Sport,chevrolet,Vectra,4,"Muy buen vehiculo tengo un año con el y solo le tuve que hacer un mantenimiento en general,sin problemas mayores motor trabajando parejo y aun con aceite 5w30 la transmision un cambio de aceite y trabaja muy suave.",1,2017-09-11 02:06:42.248000+00:00
Chevrolet Trax 2014,chevrolet,Trax,3,"No me deja escuchar la fm ni am, pero usb si se escucha el cd se puede escuchar",0,2020-08-02 17:43:40.872000+00:00
Chevrolet Vectra 1999 Sedan opel diesel. 2.0,chevrolet,Vectra,2,"El auto tiene muchos problemas con el tornillo del tensor  , Se corta cada una semana. Que tornillo lleva? Por favor",0,2017-08-30 12:09:34.332000+00:00
Chevrolet Trax 2018 Premier,chevrolet,Trax,4,Tengo detalles con sonidos en la puerta trasera rechina el plástico nose como eliminar ese rechinido cada vez que paso un tope. Gracias alguien que tenga una respuesta y aun tengo garantía pero nose si aplique..,1,2020-07-05 22:54:15.318000+00:00
Chevrolet Vectra 2005,chevrolet,Vectra,1,"Mucha electrónica y no es compatible con cualquier escáner, muy cómodos pero muy delicados",0,2017-08-11 23:26:18.281000+00:00
Chevrolet Trax 2017 Premier,chevrolet,Trax,3,"El modelo 2017 de la Trax es bastante malo, he tenido fallos del A/C que se le quedó pegado el termostato. ,  , 3 fallas eléctricas con la batería en menos de 8 meses y al menos 2 llamados a revisión forzosa uno por los soportes de la dirección mal soldados (que se podían romper al manejar en carretera arriba de los 100 km/hr) y otro llamado por un problema con la bolsa de aire (que al parecer el tipo de bolsa de aire se abría con más fuerza de lo esperado y podía causarme severos daños incluso la muerte). ,  , Me cambiaron también por garantía los cromados que van en el tablero porque se empezaron a despintar. ,  , Apenas tiene 31200 km, no me quiero imaginar después y a que solo tengo 2 años y medio con ella...  ,  , Yo tenía un modelo 2016 que me trabajo excelente por 2 años... pero este 2017 me hace dudar de volver a comprar el año modelo más reciente.",1,2020-06-29 04:20:13.979000+00:00
Chevrolet Trax 2015,chevrolet,Trax,2,Me marca code 89  un mecánico me lo recomienda eliminar el termostato creen que sea una buena opción?,2,2020-06-22 19:32:56.256000+00:00
"Chevrolet Trax 2015 4 puertas, manual",chevrolet,Trax,4,"hasta ahora todo bien, solo no prendio..",0,2020-05-07 02:31:55.518000+00:00
